X1,srch_id,date_time,site_id,visitor_location_country_id,prop_country_id,prop_id,prop_starrating,prop_brand_bool,prop_location_score1,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,random_bool,click_bool,booking_bool,address,categories,city,country,lat,lon,name,postalCode,province,reviews.text,path,path_fasilitas,path_kamar,path_km
256138,17153,22/04/2013,33,164,202,1499,3,0,2.3,4.18,9,40.74,0,15122,2,20,2,1,1,0,1,0,0,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,Pleasant 10 min walk along the sea front to the Water Bus. restaurants etc. Hotel was comfortable breakfast was good - quite a variety. Room aircon didn't work very well. Take mosquito repelant!,01.png,10010930-2048x1536-FIT_AND_TRIM-ddc3a13e425072054a8ffb26bbdb3cc3.png,855328880.png,12-image_1507806674_59df4dd24e1e7.png
256139,17153,22/04/2013,33,164,202,2535,4,0,0,4.44,20,50.04,0,15122,2,20,2,1,1,0,1,0,0,2113 Sapp Brothers Dr,"Lodging,Hotels,Motels",Percival,US,40.68973,-95.788826,Americas Best Value Inn,51648,IA,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,1246280_16061017110043391702.png,20001298-476e1b64c017ec1946ef669c4fe28e39.png,Aplikasi Pemesanan Kamar Hotel Antisipasi Kenaikan Permintaan Libur Lebaran.png,2020_06_18-_-Desain-kamar-mandi-hotel-hotel-terbaik-di-dunia.png
256140,17153,22/04/2013,33,164,202,5940,4,0,0,4.34,25,48.7,0,15122,2,20,2,1,1,0,1,0,0,2860 Grand Ave,"Hotels,Restaurants",Los Olivos,US,34.664684,-120.115036,Intermezzo,93441,CA,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,1604614790315.png,772cc72f9d0169bf8e9f619dd47097bb.png,Cara-Membedakan-Hotel-Bintang-Satu-Hingga-Lima.png,36.png
256141,17153,22/04/2013,33,164,202,15822,4,1,0,5.04,21,62.97,0,15122,2,20,2,1,1,0,1,0,0,142 Park Place Us 181 Business At Park Pl,Hotels,Kenedy,US,28.793795,-97.849655,Studio 6,78119,TX,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,5fed9d32d8420.png,akusara-jungle-resort-and-spa.png,Conrad-Seoul.png,5db25f8d51968.png
256142,17153,22/04/2013,33,164,39,18929,3,1,2.71,5,2,133.94,0,15122,2,20,2,1,1,0,1,0,0,435 E Avenida Olancha,"Hotels,Hotel",Palm Springs,US,33.802822,-116.54269,Little Paradise Hotel,92264,CA,"We had a wonderful, relaxing time. The staff were completely attentive and accommodating. We had a corner king room with a kitchen, two patios and a deluxe bathroom. You had to drive into town but they said that Uber is available if you need it. This was our first visit to Palm Springs and hopefully not our last! It really... More",96959_v6.png,ATM_1152.png,download.png,aad95d3666d3d52c381be4c11cf367da.png
256143,17153,22/04/2013,33,164,202,19225,4,0,1.1,4.34,16,42.1,0,15122,2,20,2,1,1,0,1,0,0,1055 E Mcnee Road Of Main St,"Corporate Lodging,Hotel & Motel Reservations,Hotels,Accommodations & Lodging,Lodging,Motels,Hotel",Houston,US,29.681085,-95.402996,Comfort Suites,77054,TX,"If you are being treated at any Texas Medical Center facility this is a good place to stay. Very clean, decent breakfast, and shuttle. The only negative is that the shuttle doesn't run in the middle of the day making it inconvenient to return to the hotel following an appointment. We have had to take a taxi a few times.... More",cd0d60d6_y.png,bar-hotel-terbaik-versi-alia-akkam-2.png,hotel-1330834_1280-770x424.png,image_1507810068_59df5b14811f9.png
256144,17153,22/04/2013,33,164,202,20161,4,0,0.69,4.34,10,44.65,0,15122,2,20,2,1,1,0,1,0,0,15249 N 59th Ave,Hotels,Glendale,US,33.620773,-112.185661,Thunderbird Executive Inn and Conference Center,85306,AZ,"This is the old address for Thunderbird. The new one is:Thunderbird School of Global Management1 Global PlaceGlendale, AZ 85306-6000 USASee their website:http://www.thunderbird.edu/about_thunderbird/contact_us.htm",even-hotels-eugene-5405616297-4x3.png,belviu-hotel-bandung-promo-buy-one-get_200304150028-699.png,Hotel-Instagramable-di-Jakarta-9-Traveloka.png,Kamar Mandi Mewah.png
256145,17153,22/04/2013,33,164,202,21295,4,0,1.79,4.34,13,62.08,0,15122,2,20,2,1,1,0,1,0,0,316 N Main St,"Motels,Hotels,Restaurants,Bed & Breakfast & Inns",Neihart,US,46.933598,-110.735886,Little Belt Inn Neihart,59465,MT,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,fachada.png,fasilitas-hotel-6.png,interior-kamar-hotel-bintang-5-28.png,Kamar-Mandi-Ala-Hotel-ini-735x400.png
256146,17153,22/04/2013,33,164,39,22139,4,0,3.93,5.39,28,157.83,1,15122,2,20,2,1,1,0,1,0,0,1700 N Livermore Ave,Hotels,Livermore,US,37.698349,-121.77371,Hawthorn Suites By Wyndham Livermore Wine Country,94551,CA,"The room was fine and the mattress was very comfortable. Unfortunately, I arrived while the front entrance was under-construction. There was not sufficient signage to find out how to enter the building. I would have left, had I not already had a reservation through Hotels.com.",HardRockHotelSG-Exterior.png,green-bar-at-hotel-cafe.png,interior-modern-comfortable-hotel-room-scaled.png,Kamar-mandi-hotel.png
256147,17153,22/04/2013,33,164,202,23300,3,0,2.3,4.36,6,45.39,0,15122,2,20,2,1,1,0,1,0,0,864,Hotels,Binghamton,US,42.130338,-75.905832,Fairfield Inn By Marriott Binghamton,13905,Choconut Center,Came to Binghamton to visit with a relative. Fairfield Inn is a convenient location. Nearby is Ostinango Park which is great for walking or running.,kviknes-hotel.png,hotel-yasmin-puncak-e1503038242833.png,Kamar-Hotel-Bintang-3...png,photo-kamar-mandi-utama-master-room-bathroom-desain-arsitek-oleh-wirianto-witarsa.png
